,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5
7541,009318.OF,南方成长先锋A,混合型基金,偏股混合型基金,中证500成长指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,中证500成长指数收益率,60%,上证国债指数收益率,30%,中证港股通综合指数(人民币)收益率,10%,nan,,nan,
7542,009319.OF,南方成长先锋C,混合型基金,偏股混合型基金,中证500成长指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,中证500成长指数收益率,60%,上证国债指数收益率,30%,中证港股通综合指数(人民币)收益率,10%,nan,,nan,
7543,009320.OF,中信保诚中债1-3年农发行A,债券型基金,被动指数型债券基金,中债-1-3年农发行债券指数收益率*95%+银行活期存款利率(税后)*5%,中债-1-3年农发行债券指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
7544,009321.OF,中信保诚中债1-3年农发行C,债券型基金,被动指数型债券基金,中债-1-3年农发行债券指数收益率*95%+银行活期存款利率(税后)*5%,中债-1-3年农发行债券指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
7545,009322.OF,广发锐意进取3个月C,混合型基金,偏股混合型基金,中证股票型基金指数收益率*75%+中证债券型基金指数收益率*20%+银行活期存款利率(税后)*5%,中证股票型基金指数收益率,75%,中证债券型基金指数收益率,20%,银行活期存款利率(税后),5%,nan,,nan,
7546,009323.OF,博时富通一年定开,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,中债综合财富(总值)指数收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,
7547,009324.OF,长城中债3-5年国开债A,债券型基金,被动指数型债券基金,中债-3-5年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,中债-3-5年国开行债券指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
7548,009325.OF,长城中债3-5年国开债C,债券型基金,被动指数型债券基金,中债-3-5年国开行债券指数收益率*95%+银行活期存款利率(税后)*5%,中债-3-5年国开行债券指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,
7549,009326.OF,广发稳健增长C,混合型基金,平衡混合型基金,沪深300指数收益率*65%+中证全债指数收益率*35%,沪深300指数收益率,65%,中证全债指数收益率,35%,nan,,nan,,nan,
7550,009327.OF,东兴兴晟A,混合型基金,平衡混合型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%,nan,,nan,,nan,
7551,009328.OF,东兴兴晟C,混合型基金,平衡混合型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%,nan,,nan,,nan,
7552,009329.OF,华宝中证消费龙头C,股票型基金,被动指数型基金,中证消费龙头指数收益率*95%+人民币银行活期存款利率(税后)*5%,中证消费龙头指数收益率,95%,人民币银行活期存款利率(税后),5%,nan,,nan,,nan,
7553,009330.OF,鹏华成长价值A,混合型基金,偏股混合型基金,中证800指数收益率*60%+中证综合债指数收益率*30%+恒生指数收益率*10%(经汇率估值调整),中证800指数收益率,60%,中证综合债指数收益率,30%,恒生指数收益率,10%(经汇率估值调整),nan,,nan,
7554,009331.OF,鹏华成长价值C,混合型基金,偏股混合型基金,中证800指数收益率*60%+中证综合债指数收益率*30%+恒生指数收益率*10%(经汇率估值调整),中证800指数收益率,60%,中证综合债指数收益率,30%,恒生指数收益率,10%(经汇率估值调整),nan,,nan,
7555,009332.OF,博时恒裕6个月持有A,混合型基金,偏债混合型基金,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+银行活期存款利率(税后)*5%+恒生综合指数收益率*5%,中债综合财富(总值)指数收益率,75%,沪深300指数收益率,15%,银行活期存款利率(税后),5%,恒生综合指数收益率,5%,nan,
7556,009333.OF,博时恒裕6个月持有C,混合型基金,偏债混合型基金,中债综合财富(总值)指数收益率*75%+沪深300指数收益率*15%+银行活期存款利率(税后)*5%+恒生综合指数收益率*5%,中债综合财富(总值)指数收益率,75%,沪深300指数收益率,15%,银行活期存款利率(税后),5%,恒生综合指数收益率,5%,nan,
7557,009334.OF,富国融享18个月,混合型基金,偏股混合型基金,中证800指数收益率*50%+中债综合全价指数收益率*35%+恒生指数收益率(使用估值汇率折算)*15%,中证800指数收益率,50%,中债综合全价指数收益率,35%,恒生指数收益率(使用估值汇率折算),15%,nan,,nan,
7558,009335.OF,工银稳健养老,混合型基金,偏债混合型基金,中债新综合(财富)指数收益率*80%+中证800指数收益率*20%,中债新综合(财富)指数收益率,80%,中证800指数收益率,20%,nan,,nan,,nan,
7559,009336.OF,平安中证500指数增强A,股票型基金,增强指数型基金,中证500指数收益率*95%+同期银行活期存款利率(税后)*5%,中证500指数收益率,95%,同期银行活期存款利率(税后),5%,nan,,nan,,nan,
7560,009337.OF,平安中证500指数增强C,股票型基金,增强指数型基金,中证500指数收益率*95%+同期银行活期存款利率(税后)*5%,中证500指数收益率,95%,同期银行活期存款利率(税后),5%,nan,,nan,,nan,
7561,009338.OF,万家民瑞祥和6个月持有A,债券型基金,中长期纯债型基金,中债新综合指数(全价)收益率,中债新综合指数(全价)收益率,,nan,,nan,,nan,,nan,
7562,009339.OF,万家民瑞祥和6个月持有C,债券型基金,中长期纯债型基金,中债新综合指数(全价)收益率,中债新综合指数(全价)收益率,,nan,,nan,,nan,,nan,
7563,009340.OF,工银养老2055五年,混合型基金,平衡混合型基金,中证800指数收益率*70%+中债新综合(财富)指数收益率*30%,中证800指数收益率,70%,中债新综合(财富)指数收益率,30%,nan,,nan,,nan,
7564,009341.OF,易方达均衡成长,股票型基金,普通股票型基金,中证500指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,中证500指数收益率,65%,中证港股通综合指数收益率,20%,中债总指数收益率,15%,nan,,nan,
7565,009342.OF,易方达优质企业三年持有,混合型基金,偏股混合型基金,沪深300指数收益率*45%+中证港股通综合指数收益率*35%+中债总指数收益率*20%,沪深300指数收益率,45%,中证港股通综合指数收益率,35%,中债总指数收益率,20%,nan,,nan,
7566,009343.OF,泰康长江经济带A,债券型基金,中长期纯债型基金,中债新综合全价(总值)指数收益率*95%+金融机构人民币活期存款利率(税后)*5%,中债新综合全价(总值)指数收益率,95%,金融机构人民币活期存款利率(税后),5%,nan,,nan,,nan,
7567,009344.OF,泰康长江经济带C,债券型基金,中长期纯债型基金,中债新综合全价(总值)指数收益率*95%+金融机构人民币活期存款利率(税后)*5%,中债新综合全价(总值)指数收益率,95%,金融机构人民币活期存款利率(税后),5%,nan,,nan,,nan,
7568,009345.OF,中银顺兴回报一年持有A,混合型基金,平衡混合型基金,中债综合全价(总值)指数收益率*60%+沪深300指数收益率*30%+恒生指数收益率*10%,中债综合全价(总值)指数收益率,60%,沪深300指数收益率,30%,恒生指数收益率,10%,nan,,nan,
7569,009346.OF,中银顺兴回报一年持有C,混合型基金,平衡混合型基金,中债综合全价(总值)指数收益率*60%+沪深300指数收益率*30%+恒生指数收益率*10%,中债综合全价(总值)指数收益率,60%,沪深300指数收益率,30%,恒生指数收益率,10%,nan,,nan,
7570,009347.OF,中融价值成长6个月持有A,混合型基金,偏股混合型基金,沪深300指数收益率*65%+中债综合指数收益率*25%+恒生指数收益率*10%,沪深300指数收益率,65%,中债综合指数收益率,25%,恒生指数收益率,10%,nan,,nan,
7571,009348.OF,中融价值成长6个月持有C,混合型基金,偏股混合型基金,沪深300指数收益率*65%+中债综合指数收益率*25%+恒生指数收益率*10%,沪深300指数收益率,65%,中债综合指数收益率,25%,恒生指数收益率,10%,nan,,nan,
7572,009349.OF,前海联合添泽A,债券型基金,中长期纯债型基金,中债综合全价指数收益率*95%+同期中国人民银行公布的一年期银行定期存款利率(税后)*5%,中债综合全价指数收益率,95%,同期中国人民银行公布的一年期银行定期存款利率(税后),5%,nan,,nan,,nan,
7573,009350.OF,前海联合添泽C,债券型基金,中长期纯债型基金,中债综合全价指数收益率*95%+同期中国人民银行公布的一年期银行定期存款利率(税后)*5%,中债综合全价指数收益率,95%,同期中国人民银行公布的一年期银行定期存款利率(税后),5%,nan,,nan,,nan,
7574,009351.OF,南方誉丰18个月持有A,混合型基金,偏债混合型基金,中债信用债总指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,中债信用债总指数收益率,80%,沪深300指数收益率,15%,中证港股通综合指数(人民币)收益率,5%,nan,,nan,
7575,009352.OF,南方誉丰18个月持有C,混合型基金,偏债混合型基金,中债信用债总指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,中债信用债总指数收益率,80%,沪深300指数收益率,15%,中证港股通综合指数(人民币)收益率,5%,nan,,nan,
7576,009353.OF,浙商科技创新一个月滚动持有A,混合型基金,偏股混合型基金,中国战略新兴产业成份指数收益率*65%+中债综合财富(总值)指数收益率*30%+中证港股通综合指数收益率*5%,中国战略新兴产业成份指数收益率,65%,中债综合财富(总值)指数收益率,30%,中证港股通综合指数收益率,5%,nan,,nan,
7577,009354.OF,浙商科技创新一个月滚动持有C,混合型基金,偏股混合型基金,中国战略新兴产业成份指数收益率*65%+中债综合财富(总值)指数收益率*30%+中证港股通综合指数收益率*5%,中国战略新兴产业成份指数收益率,65%,中债综合财富(总值)指数收益率,30%,中证港股通综合指数收益率,5%,nan,,nan,
7578,009355.OF,泰达宏利泰和稳健养老,混合型基金,偏债混合型基金,中证全债指数收益率*80%+中证全指指数收益率*20%,中证全债指数收益率,80%,中证全指指数收益率,20%,nan,,nan,,nan,
