,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1
6,000009.OF,易方达天天A,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的活期存款基准利率的收益率(税后)'],中国人民银行公布的活期存款基准利率的收益率(税后),"['中国人民银行公布的活期存款基准利率的收益率(税后)', nan]"
7,000010.OF,易方达天天B,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的活期存款基准利率的收益率(税后)'],中国人民银行公布的活期存款基准利率的收益率(税后),"['中国人民银行公布的活期存款基准利率的收益率(税后)', nan]"
9,000013.OF,易方达天天R,货币市场型基金,货币市场型基金,中国人民银行公布的活期存款基准利率的收益率(税后),中国人民银行公布的活期存款基准利率的收益率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的活期存款基准利率的收益率(税后)'],中国人民银行公布的活期存款基准利率的收益率(税后),"['中国人民银行公布的活期存款基准利率的收益率(税后)', nan]"
140,000198.OF,天弘余额宝,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
144,000203.OF,国富日日收益A,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期7天通知存款利率(税后)'],同期7天通知存款利率(税后),"['同期7天通知存款利率(税后)', nan]"
145,000204.OF,国富日日收益B,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期7天通知存款利率(税后)'],同期7天通知存款利率(税后),"['同期7天通知存款利率(税后)', nan]"
151,000210.OF,光大现金宝A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
152,000211.OF,光大现金宝B,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
205,000300.OF,德邦德利货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
206,000301.OF,德邦德利货币B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
221,000324.OF,华润元大现金收益A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
222,000325.OF,华润元大现金收益B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
227,000330.OF,汇添富现金宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
228,000331.OF,中加货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
229,000332.OF,中加货币C,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
238,000343.OF,华夏财富宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
244,000353.OF,华夏现金增利E,货币市场型基金,货币市场型基金,同期七天通知存款利率,同期七天通知存款利率,,nan,,nan,,nan,,nan,,['同期七天通知存款利率'],同期七天通知存款利率,"['同期七天通知存款利率', nan]"
248,000359.OF,易方达易理财A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
251,000366.OF,汇添富添富通A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
256,000371.OF,民生加银现金宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
262,000379.OF,平安日增利A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
263,000380.OF,景顺长城景益货币A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
264,000381.OF,景顺长城景益货币B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
267,000389.OF,广发天天红A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
272,000397.OF,汇添富全额宝,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
293,000424.OF,长盛添利宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
294,000425.OF,长盛添利宝B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
298,000434.OF,新华壹诺宝A,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['人民币七天通知存款利率(税后)'],人民币七天通知存款利率(税后),"['人民币七天通知存款利率(税后)', nan]"
301,000439.OF,国金鑫盈货币,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['人民币七天通知存款利率(税后)'],人民币七天通知存款利率(税后),"['人民币七天通知存款利率(税后)', nan]"
307,000464.OF,嘉实活期宝,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
312,000475.OF,广发天天利A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
313,000476.OF,广发天天利B,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
318,000483.OF,鑫元货币A,货币市场型基金,货币市场型基金,同期活期存款利率(税后),同期活期存款利率(税后),,nan,,nan,,nan,,nan,,['同期活期存款利率(税后)'],同期活期存款利率(税后),"['同期活期存款利率(税后)', nan]"
319,000484.OF,鑫元货币B,货币市场型基金,货币市场型基金,同期活期存款利率(税后),同期活期存款利率(税后),,nan,,nan,,nan,,nan,,['同期活期存款利率(税后)'],同期活期存款利率(税后),"['同期活期存款利率(税后)', nan]"
324,000493.OF,南方现金通A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
325,000494.OF,南方现金通B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
326,000495.OF,南方现金通C,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
333,000505.OF,国寿安保货币A,货币市场型基金,货币市场型基金,7天通知存款利率(税后),7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['7天通知存款利率(税后)'],7天通知存款利率(税后),"['7天通知存款利率(税后)', nan]"
334,000506.OF,国寿安保货币B,货币市场型基金,货币市场型基金,7天通知存款利率(税后),7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['7天通知存款利率(税后)'],7天通知存款利率(税后),"['7天通知存款利率(税后)', nan]"
337,000509.OF,广发钱袋子A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
350,000528.OF,工银瑞信薪金A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
355,000533.OF,永赢货币,货币市场型基金,货币市场型基金,同期7天通知存款利率(税后),同期7天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期7天通知存款利率(税后)'],同期7天通知存款利率(税后),"['同期7天通知存款利率(税后)', nan]"
360,000539.OF,中银活期宝,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
361,000540.OF,国金金腾通A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
363,000542.OF,上银慧财宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
364,000543.OF,上银慧财宝B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
368,000548.OF,鹏华聚财通,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
377,000559.OF,诺安天天宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
378,000560.OF,诺安天天宝E,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
385,000569.OF,鹏华增值宝,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
389,000575.OF,兴全添利宝,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
390,000576.OF,中邮货币A,货币市场型基金,货币市场型基金,金融机构人民币活期存款基准利率(税后),金融机构人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['金融机构人民币活期存款基准利率(税后)'],金融机构人民币活期存款基准利率(税后),"['金融机构人民币活期存款基准利率(税后)', nan]"
394,000580.OF,中邮货币B,货币市场型基金,货币市场型基金,金融机构人民币活期存款基准利率(税后),金融机构人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['金融机构人民币活期存款基准利率(税后)'],金融机构人民币活期存款基准利率(税后),"['金融机构人民币活期存款基准利率(税后)', nan]"
395,000581.OF,嘉实活钱包A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
401,000588.OF,招商招钱宝A,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
412,000599.OF,信诚薪金宝,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
413,000600.OF,汇添富和聚宝,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
415,000602.OF,富国安益A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
417,000604.OF,银华多利宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
418,000605.OF,银华多利宝B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
420,000607.OF,招商招钱宝B,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
425,000615.OF,长城工资宝A,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
426,000618.OF,嘉实薪金宝,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
428,000620.OF,易方达现金增利A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
429,000621.OF,易方达现金增利B,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
430,000625.OF,诺安天天宝B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
431,000626.OF,大成丰财宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
432,000627.OF,大成丰财宝B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
436,000638.OF,富国富钱包A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
438,000640.OF,诺安理财宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
439,000641.OF,诺安理财宝B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
440,000642.OF,汇添富货币C,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
441,000644.OF,招商招金宝A,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
442,000645.OF,华夏薪金宝,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
444,000647.OF,易方达财富快线A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
445,000648.OF,易方达财富快线B,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
447,000650.OF,汇添富货币D,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
448,000651.OF,招商招金宝B,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
453,000657.OF,银华活钱宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
454,000658.OF,银华活钱宝B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
455,000659.OF,银华活钱宝C,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
456,000660.OF,银华活钱宝D,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
457,000661.OF,银华活钱宝E,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
458,000662.OF,银华活钱宝F,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
461,000665.OF,博时现金收益B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
468,000677.OF,工银瑞信现金快线,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
469,000678.OF,华宝现金宝E,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
471,000681.OF,信达澳银慧管家A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后)*1.3,同期七天通知存款利率(税后),1.3,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)*1.3'],同期七天通知存款利率(税后)*1.3,"['同期七天通知存款利率(税后)', '1.3']"
472,000682.OF,信达澳银慧管家C,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后)*1.3,同期七天通知存款利率(税后),1.3,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)*1.3'],同期七天通知存款利率(税后)*1.3,"['同期七天通知存款利率(税后)', '1.3']"
473,000683.OF,信达澳银慧管家E,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后)*1.3,同期七天通知存款利率(税后),1.3,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)*1.3'],同期七天通知存款利率(税后)*1.3,"['同期七天通知存款利率(税后)', '1.3']"
475,000686.OF,建信嘉薪宝A,货币市场型基金,货币市场型基金,七天通知存款利率(税前),七天通知存款利率(税前),,nan,,nan,,nan,,nan,,['七天通知存款利率(税前)'],七天通知存款利率(税前),"['七天通知存款利率(税前)', nan]"
476,000687.OF,南方薪金宝,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
481,000693.OF,建信现金添利A,货币市场型基金,货币市场型基金,七天通知存款利率(税前),七天通知存款利率(税前),,nan,,nan,,nan,,nan,,['七天通知存款利率(税前)'],七天通知存款利率(税前),"['七天通知存款利率(税前)', nan]"
486,000699.OF,中银薪钱包,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
487,000700.OF,泰达宏利货币B,货币市场型基金,货币市场型基金,一年期银行定期存款利率(税后),一年期银行定期存款利率(税后),,nan,,nan,,nan,,nan,,['一年期银行定期存款利率(税后)'],一年期银行定期存款利率(税后),"['一年期银行定期存款利率(税后)', nan]"
488,000701.OF,景顺长城景丰A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
489,000704.OF,易方达天天增利A,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
490,000705.OF,易方达天天增利B,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
492,000707.OF,景顺长城景丰B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
494,000709.OF,华安汇财通,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['人民币七天通知存款利率(税后)'],人民币七天通知存款利率(税后),"['人民币七天通知存款利率(税后)', nan]"
495,000710.OF,交银现金宝A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
497,000712.OF,上投摩根天添宝A,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
498,000713.OF,上投摩根天添宝B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
501,000716.OF,工银瑞信薪金B,货币市场型基金,货币市场型基金,中国人民银行公布的七天通知存款利率(税后),中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['中国人民银行公布的七天通知存款利率(税后)'],中国人民银行公布的七天通知存款利率(税后),"['中国人民银行公布的七天通知存款利率(税后)', nan]"
503,000719.OF,南方现金通E,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
505,000721.OF,兴业货币A,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
506,000722.OF,兴业货币B,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
508,000724.OF,大成添利宝A,货币市场型基金,货币市场型基金,银行活期存款利率(税后),银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['银行活期存款利率(税后)'],银行活期存款利率(税后),"['银行活期存款利率(税后)', nan]"
