,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1
1685,002243.OF,东方金证通A,货币市场型基金,货币市场型基金,人民币活期存款利率(税后),人民币活期存款利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款利率(税后)'],人民币活期存款利率(税后),"['人民币活期存款利率(税后)', nan]"
1689,002247.OF,前海联合海盈货币A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
1690,002248.OF,前海联合海盈货币B,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
1699,002260.OF,中信建投添鑫宝,货币市场型基金,货币市场型基金,七天通知存款利率(税后),七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['七天通知存款利率(税后)'],七天通知存款利率(税后),"['七天通知存款利率(税后)', nan]"
1728,002298.OF,招商招福宝A,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
1729,002299.OF,招商招福宝B,货币市场型基金,货币市场型基金,人民币活期存款基准利率(税后),人民币活期存款基准利率(税后),,nan,,nan,,nan,,nan,,['人民币活期存款基准利率(税后)'],人民币活期存款基准利率(税后),"['人民币活期存款基准利率(税后)', nan]"
1732,002302.OF,新沃通宝B,货币市场型基金,货币市场型基金,同期七天通知存款利率(税后),同期七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期七天通知存款利率(税后)'],同期七天通知存款利率(税后),"['同期七天通知存款利率(税后)', nan]"
1744,002318.OF,鹏华添利A,货币市场型基金,货币市场型基金,活期存款利率(税后),活期存款利率(税后),,nan,,nan,,nan,,nan,,['活期存款利率(税后)'],活期存款利率(税后),"['活期存款利率(税后)', nan]"
1748,002324.OF,南方日添益A,货币市场型基金,货币市场型基金,同期中国人民银行公布的七天通知存款利率(税后),同期中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期中国人民银行公布的七天通知存款利率(税后)'],同期中国人民银行公布的七天通知存款利率(税后),"['同期中国人民银行公布的七天通知存款利率(税后)', nan]"
1749,002325.OF,南方日添益E,货币市场型基金,货币市场型基金,同期中国人民银行公布的七天通知存款利率(税后),同期中国人民银行公布的七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['同期中国人民银行公布的七天通知存款利率(税后)'],同期中国人民银行公布的七天通知存款利率(税后),"['同期中国人民银行公布的七天通知存款利率(税后)', nan]"
1862,002469.OF,华泰柏瑞交易货币B,货币市场型基金,货币市场型基金,当期银行活期存款利率(税后),当期银行活期存款利率(税后),,nan,,nan,,nan,,nan,,['当期银行活期存款利率(税后)'],当期银行活期存款利率(税后),"['当期银行活期存款利率(税后)', nan]"
1912,002546.OF,泰康薪意保E,货币市场型基金,货币市场型基金,人民币七天通知存款利率(税后),人民币七天通知存款利率(税后),,nan,,nan,,nan,,nan,,['人民币七天通知存款利率(税后)'],人民币七天通知存款利率(税后),"['人民币七天通知存款利率(税后)', nan]"
