,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2
2000,002660.OF,兴业聚源,混合型基金,灵活配置型基金,中债综合全价指数收益率*80%+沪深300指数收益率*20%,中债综合全价指数收益率,80%,沪深300指数收益率,20%
2002,002662.OF,前海开源沪港深大消费A,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
2003,002663.OF,前海开源沪港深大消费C,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
2004,002664.OF,万家瑞和A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2005,002665.OF,万家瑞和C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2008,002668.OF,兴业聚丰,混合型基金,灵活配置型基金,中债综合全价指数收益率*80%+沪深300指数收益率*20%,中债综合全价指数收益率,80%,沪深300指数收益率,20%
2009,002669.OF,华商万众创新,混合型基金,灵活配置型基金,中证800指数收益率*65%+上证国债指数收益率*35%,中证800指数收益率,65%,上证国债指数收益率,35%
2016,002681.OF,金鹰元和A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%
2017,002682.OF,金鹰元和C,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%
2018,002683.OF,民生加银前沿科技,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证国债指数收益率*40%,沪深300指数收益率,60%,中证国债指数收益率,40%
2024,002690.OF,前海开源恒泽A,混合型基金,偏债混合型基金,中证全债指数收益率*80%+沪深300指数收益率*20%,中证全债指数收益率,80%,沪深300指数收益率,20%
2025,002691.OF,前海开源恒泽C,混合型基金,偏债混合型基金,中证全债指数收益率*80%+沪深300指数收益率*20%,中证全债指数收益率,80%,沪深300指数收益率,20%
2026,002692.OF,富国创新科技A,混合型基金,偏股混合型基金,中证TMT产业主题指数*60%+中证全债指数收益率*40%,中证TMT产业主题指数,60%,中证全债指数收益率,40%
2027,002694.OF,中银新蓝筹,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%
2032,002703.OF,长城久源,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中债总财富指数收益率*45%,沪深300指数收益率,55%,中债总财富指数收益率,45%
2035,002707.OF,大摩科技领先,混合型基金,灵活配置型基金,沪深300指数收益率*80%+中证综合债指数收益率*20%,沪深300指数收益率,80%,中证综合债指数收益率,20%
2036,002708.OF,大摩健康产业,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证综合债指数收益率*20%,沪深300指数收益率,80%,中证综合债指数收益率,20%
2041,002714.OF,鹏华金城灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中证综合债指数收益率*45%,沪深300指数收益率,55%,中证综合债指数收益率,45%
2043,002717.OF,红塔红土盛隆A,混合型基金,灵活配置型基金,沪深300指数*55%+中债总指数(财富)*45%,沪深300指数,55%,中债总指数(财富),45%
2044,002718.OF,红塔红土盛隆C,混合型基金,灵活配置型基金,沪深300指数*55%+中债总指数(财富)*45%,沪深300指数,55%,中债总指数(财富),45%
2052,002728.OF,华富益鑫A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2053,002729.OF,华富益鑫C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2054,002730.OF,华富华鑫A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2055,002731.OF,华富华鑫C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2068,002745.OF,北信瑞丰丰利,混合型基金,偏债混合型基金,中债总财富指数收益率*80%+沪深300指数收益率*20%,中债总财富指数收益率,80%,沪深300指数收益率,20%
2069,002746.OF,汇添富多策略,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2085,002768.OF,华安安进灵活配置,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中国债券总指数收益率*40%,沪深300指数收益率,60%,中国债券总指数收益率,40%
2087,002770.OF,安信新回报A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
2088,002771.OF,安信新回报C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
2089,002772.OF,光大产业新动力,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2090,002773.OF,光大铭鑫A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2091,002774.OF,光大铭鑫C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2093,002776.OF,招商安荣A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2094,002777.OF,招商安荣C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2095,002778.OF,前海联合新思路A,混合型基金,灵活配置型基金,一年期人民币定期存款利率(税后)*70%+沪深300指数收益率*30%,一年期人民币定期存款利率(税后),70%,沪深300指数收益率,30%
2096,002779.OF,前海联合新思路C,混合型基金,灵活配置型基金,一年期人民币定期存款利率(税后)*70%+沪深300指数收益率*30%,一年期人民币定期存款利率(税后),70%,沪深300指数收益率,30%
2097,002780.OF,前海联合泓鑫A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价指数收益率*50%,沪深300指数收益率,50%,中债综合全价指数收益率,50%
2100,002783.OF,东方红价值精选A,混合型基金,偏债混合型基金,中债综合指数收益率*80%+沪深300指数收益率*20%,中债综合指数收益率,80%,沪深300指数收益率,20%
2101,002784.OF,东方红价值精选C,混合型基金,偏债混合型基金,中债综合指数收益率*80%+沪深300指数收益率*20%,中债综合指数收益率,80%,沪深300指数收益率,20%
2105,002789.OF,长盛同享A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2106,002790.OF,长盛同享C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2107,002792.OF,景顺长城顺益回报A,混合型基金,偏债混合型基金,中证综合债指数收益率*85%+沪深300指数收益率*15%,中证综合债指数收益率,85%,沪深300指数收益率,15%
2108,002793.OF,景顺长城顺益回报C,混合型基金,偏债混合型基金,中证综合债指数收益率*85%+沪深300指数收益率*15%,中证综合债指数收益率,85%,沪深300指数收益率,15%
2113,002801.OF,泓德泓信,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债券指数收益率*50%,沪深300指数收益率,50%,中证综合债券指数收益率,50%
2114,002802.OF,广发东财大数据精选,混合型基金,灵活配置型基金,中证全指指数收益率*50%+中证全债指数收益率*50%,中证全指指数收益率,50%,中证全债指数收益率,50%
2120,002808.OF,泓德优势领航,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债券指数收益率*50%,沪深300指数收益率,50%,中证综合债券指数收益率,50%
2121,002810.OF,金信转型创新成长,混合型基金,灵活配置型基金,中证800指数收益率*65%+中证综合债指数收益率*35%,中证800指数收益率,65%,中证综合债指数收益率,35%
2128,002819.OF,招商丰美A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2129,002820.OF,招商丰美C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2130,002823.OF,招商盛达A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2131,002824.OF,招商盛达C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2138,002833.OF,华夏新锦绣A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2139,002834.OF,华夏新锦绣C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2140,002837.OF,华夏网购精选A,混合型基金,灵活配置型基金,中证主要消费指数收益率*50%+上证国债指数收益率*50%,中证主要消费指数收益率,50%,上证国债指数收益率,50%
2141,002838.OF,华夏新锦程A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2142,002839.OF,华夏新锦程C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2143,002844.OF,金鹰多元策略,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2144,002845.OF,上投摩根安鑫回报C,混合型基金,偏债混合型基金,一年期银行定期存款利率(税后)+1%,一年期银行定期存款利率(税后),,1%,
2145,002846.OF,泓德泓华,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债券指数收益率*50%,沪深300指数收益率,50%,中证综合债券指数收益率,50%
2147,002849.OF,金信智能中国2025,混合型基金,灵活配置型基金,中证800指数收益率*65%+中证综合债指数收益率*35%,中证800指数收益率,65%,中证综合债指数收益率,35%
2148,002850.OF,南方甑智,混合型基金,偏债混合型基金,中债综合指数收益率*80%+沪深300指数收益率*20%,中债综合指数收益率,80%,沪深300指数收益率,20%
2149,002851.OF,南方品质优选,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
2157,002863.OF,金信深圳成长,混合型基金,灵活配置型基金,深证成份指数收益率*65%+中证综合债指数收益率*35%,深证成份指数收益率,65%,中证综合债指数收益率,35%
2174,002885.OF,大摩万众创新,混合型基金,灵活配置型基金,沪深300指数收益率*80%+中证综合债券指数收益率*20%,沪深300指数收益率,80%,中证综合债券指数收益率,20%
2192,002908.OF,富国睿利定期开放,混合型基金,偏债混合型基金,三年期人民币定期存款基准利率(税后)+1.50%,三年期人民币定期存款基准利率(税后),,1.50%,
2194,002910.OF,易方达供给改革,混合型基金,灵活配置型基金,沪深300指数收益率*65%+中债新综合财富指数收益率*35%,沪深300指数收益率,65%,中债新综合财富指数收益率,35%
2199,002919.OF,东吴智慧医疗量化策略,混合型基金,灵活配置型基金,中证医疗指数收益率*65%+中债综合全价(总值)指数收益率*35%,中证医疗指数收益率,65%,中债综合全价(总值)指数收益率,35%
2201,002923.OF,兴业聚惠C,混合型基金,灵活配置型基金,三年期银行定期存款利率(税后)+1%,三年期银行定期存款利率(税后),,1%,
2215,002938.OF,中银证券健康产业,混合型基金,灵活配置型基金,中证医药卫生指数收益率*50%+中证全债指数收益率*50%,中证医药卫生指数收益率,50%,中证全债指数收益率,50%
2216,002939.OF,广发创新升级,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2217,002943.OF,广发多因子,混合型基金,灵活配置型基金,中证800指数收益率*65%+中证全债指数收益率*35%,中证800指数收益率,65%,中证全债指数收益率,35%
2218,002945.OF,大成盛世精选,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中证综合债券指数收益率*45%,沪深300指数收益率,55%,中证综合债券指数收益率,45%
2224,002955.OF,融通新趋势,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*50%,沪深300指数收益率,50%,中债综合全价(总值)指数收益率,50%
2227,002959.OF,汇添富盈泰,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2235,002967.OF,浙商大数据智选消费,混合型基金,灵活配置型基金,中证主要消费行业指数*60%+上证国债指数收益率*40%,中证主要消费行业指数,60%,上证国债指数收益率,40%
2246,002983.OF,长信国防军工A,混合型基金,灵活配置型基金,申万国防军工指数收益率*60%+中证综合债指数收益率*40%,申万国防军工指数收益率,60%,中证综合债指数收益率,40%
2252,002989.OF,融通通乾研究精选,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*50%,沪深300指数收益率,50%,中债综合全价(总值)指数收益率,50%
2258,003000.OF,招商丰德A,混合型基金,灵活配置型基金,中证全债指数收益率*70%+沪深300指数收益率*30%,中证全债指数收益率,70%,沪深300指数收益率,30%
2259,003001.OF,招商丰德C,混合型基金,灵活配置型基金,中证全债指数收益率*70%+沪深300指数收益率*30%,中证全债指数收益率,70%,沪深300指数收益率,30%
2262,003004.OF,招商睿祥定期开放,混合型基金,偏债混合型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2273,003025.OF,新华红利回报,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中国债券总指数收益率*50%,沪深300指数收益率,50%,中国债券总指数收益率,50%
2274,003026.OF,安信新价值A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
2275,003027.OF,安信新价值C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
2276,003028.OF,安信新优选A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
2277,003029.OF,安信新优选C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
2278,003030.OF,安信新目标A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
2279,003031.OF,安信新目标C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
2280,003032.OF,平安医疗健康,混合型基金,灵活配置型基金,中证医药卫生指数收益率*60%+中证全债指数收益率*40%,中证医药卫生指数收益率,60%,中证全债指数收益率,40%
2296,003059.OF,长信先利半年A,混合型基金,偏债混合型基金,中证综合债指数收益率*80%+中证500指数收益率*20%,中证综合债指数收益率,80%,中证500指数收益率,20%
2297,003062.OF,银华通利A,混合型基金,灵活配置型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2298,003063.OF,银华通利C,混合型基金,灵活配置型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2299,003064.OF,南方荣欢定期开放,混合型基金,偏债混合型基金,中债综合指数收益率*90%+沪深300指数收益率*10%,中债综合指数收益率,90%,沪深300指数收益率,10%
2316,003095.OF,中欧医疗健康A,混合型基金,偏股混合型基金,中证医药卫生指数收益率*65%+中证综合债券指数收益率*35%,中证医药卫生指数收益率,65%,中证综合债券指数收益率,35%
2317,003096.OF,中欧医疗健康C,混合型基金,偏股混合型基金,中证医药卫生指数收益率*65%+中证综合债券指数收益率*35%,中证医药卫生指数收益率,65%,中证综合债券指数收益率,35%
2322,003105.OF,光大永鑫A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2323,003106.OF,光大永鑫C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2328,003115.OF,光大诚鑫A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2329,003116.OF,光大诚鑫C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2330,003117.OF,光大吉鑫A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2331,003118.OF,光大吉鑫C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证全债指数收益率*50%,沪深300指数收益率,50%,中证全债指数收益率,50%
2332,003119.OF,博时鑫源A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2333,003120.OF,博时鑫源C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2337,003125.OF,中科沃土沃鑫成长精选A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*50%,沪深300指数收益率,50%,中债综合全价(总值)指数收益率,50%
2341,003131.OF,国寿安保强国智造,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%
2342,003132.OF,德邦新回报,混合型基金,灵活配置型基金,一年期银行定期存款利率(税后)*60%+沪深300指数收益率*40%,一年期银行定期存款利率(税后),60%,沪深300指数收益率,40%
2346,003142.OF,鹏华弘达A,混合型基金,灵活配置型基金,中证综合债指数收益率*50%+沪深300指数收益率*50%,中证综合债指数收益率,50%,沪深300指数收益率,50%
2347,003143.OF,鹏华弘达C,混合型基金,灵活配置型基金,中证综合债指数收益率*50%+沪深300指数收益率*50%,中证综合债指数收益率,50%,沪深300指数收益率,50%
2348,003144.OF,华宝新机遇C,混合型基金,灵活配置型基金,1年期银行定期存款基准利率(税后)+3%,1年期银行定期存款基准利率(税后),,3%,
2351,003147.OF,大成动态量化,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2352,003152.OF,华富天鑫A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2353,003153.OF,华富天鑫C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2354,003154.OF,华宝新活力,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2360,003161.OF,南方安泰,混合型基金,偏债混合型基金,上证国债指数收益率*85%+沪深300指数收益率*15%,上证国债指数收益率,85%,沪深300指数收益率,15%
2364,003165.OF,鹏华弘嘉A,混合型基金,灵活配置型基金,中证综合债指数收益率*50%+沪深300指数收益率*50%,中证综合债指数收益率,50%,沪深300指数收益率,50%
2365,003166.OF,鹏华弘嘉C,混合型基金,灵活配置型基金,中证综合债指数收益率*50%+沪深300指数收益率*50%,中证综合债指数收益率,50%,沪深300指数收益率,50%
2368,003169.OF,长盛盛辉A,混合型基金,偏债混合型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2369,003170.OF,长盛盛辉C,混合型基金,偏债混合型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2373,003175.OF,华泰柏瑞多策略,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
2379,003182.OF,华富弘鑫A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2380,003183.OF,华富弘鑫C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+上证国债指数收益率*50%,沪深300指数收益率,50%,上证国债指数收益率,50%
2383,003186.OF,鹏华兴安定期开放,混合型基金,灵活配置型基金,中证全债指数收益率*70%+沪深300指数收益率*30%,中证全债指数收益率,70%,沪深300指数收益率,30%
2384,003187.OF,嘉实安益,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总财富指数收益率*50%,沪深300指数收益率,50%,中债总财富指数收益率,50%
2386,003189.OF,汇添富保鑫,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债综合指数收益率*50%,沪深300指数收益率,50%,中债综合指数收益率,50%
2402,003208.OF,东兴量化多策略,混合型基金,灵活配置型基金,中证800指数收益率*65%+中证综合债券指数收益率*35%,中证800指数收益率,65%,中证综合债券指数收益率,35%
2421,003234.OF,信诚至利A,混合型基金,灵活配置型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2422,003235.OF,信诚至利C,混合型基金,灵活配置型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2425,003238.OF,新华外延增长主题,混合型基金,灵活配置型基金,中证800指数收益率*60%+中国债券总指数收益率*40%,中证800指数收益率,60%,中国债券总指数收益率,40%
2428,003241.OF,创金合信量化发现A,混合型基金,灵活配置型基金,中证500指数收益率*80%+银行人民币活期存款利率(税后)*20%,中证500指数收益率,80%,银行人民币活期存款利率(税后),20%
2429,003242.OF,创金合信量化发现C,混合型基金,灵活配置型基金,中证500指数收益率*80%+银行人民币活期存款利率(税后)*20%,中证500指数收益率,80%,银行人民币活期存款利率(税后),20%
2457,003282.OF,信诚至裕A,混合型基金,灵活配置型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2458,003283.OF,信诚至裕C,混合型基金,灵活配置型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2459,003284.OF,中邮医药健康,混合型基金,灵活配置型基金,中证医药100指数收益率*60%+上证国债指数收益率*40%,中证医药100指数收益率,60%,上证国债指数收益率,40%
2466,003291.OF,信达澳银健康中国,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
2467,003292.OF,嘉实优势成长,混合型基金,灵活配置型基金,沪深300指数收益率*80%+中国债券总指数收益率*20%,沪深300指数收益率,80%,中国债券总指数收益率,20%
2468,003293.OF,易方达科瑞,混合型基金,灵活配置型基金,沪深300指数收益率*80%+中债新综合财富指数收益率*20%,沪深300指数收益率,80%,中债新综合财富指数收益率,20%
2469,003295.OF,南方安裕A,混合型基金,偏债混合型基金,上证国债指数收益率*85%+沪深300指数收益率*15%,上证国债指数收益率,85%,沪深300指数收益率,15%
2473,003300.OF,华夏圆和,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债总指数收益率*40%,沪深300指数收益率,60%,中债总指数收益率,40%
2476,003304.OF,前海开源沪港深核心资源A,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
2477,003305.OF,前海开源沪港深核心资源C,混合型基金,灵活配置型基金,沪深300指数收益率*70%+中证全债指数收益率*30%,沪深300指数收益率,70%,中证全债指数收益率,30%
2478,003308.OF,中信建投睿利A,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中债综合指数收益率*40%,沪深300指数收益率,60%,中债综合指数收益率,40%
2487,003319.OF,建信瑞丰添利A,混合型基金,偏债混合型基金,中债综合指数(全价)收益率*60%+沪深300指数收益率*40%,中债综合指数(全价)收益率,60%,沪深300指数收益率,40%
2488,003320.OF,建信瑞丰添利C,混合型基金,偏债混合型基金,中债综合指数(全价)收益率*60%+沪深300指数收益率*40%,中债综合指数(全价)收益率,60%,沪深300指数收益率,40%
2498,003331.OF,博时乐臻,混合型基金,偏债混合型基金,中债综合财富(总值)指数*60%+沪深300指数*40%,中债综合财富(总值)指数,60%,沪深300指数,40%
2499,003332.OF,南方荣发定期开放,混合型基金,偏债混合型基金,中债综合指数收益率*90%+沪深300指数收益率*10%,中债综合指数收益率,90%,沪深300指数收益率,10%
2500,003333.OF,泰信智选成长,混合型基金,灵活配置型基金,沪深300指数收益率*60%+上证国债指数收益率*40%,沪深300指数收益率,60%,上证国债指数收益率,40%
2507,003343.OF,鹏华弘惠A,混合型基金,灵活配置型基金,中证综合债指数收益率*50%+沪深300指数收益率*50%,中证综合债指数收益率,50%,沪深300指数收益率,50%
2508,003344.OF,鹏华弘惠C,混合型基金,灵活配置型基金,中证综合债指数收益率*50%+沪深300指数收益率*50%,中证综合债指数收益率,50%,沪深300指数收益率,50%
2509,003345.OF,安信新成长A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
2510,003346.OF,安信新成长C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中债总指数(全价)收益率*50%,沪深300指数收益率,50%,中债总指数(全价)收益率,50%
2521,003373.OF,大成景禄A,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中证综合债券指数收益率*45%,沪深300指数收益率,55%,中证综合债券指数收益率,45%
2522,003374.OF,大成景禄C,混合型基金,灵活配置型基金,沪深300指数收益率*55%+中证综合债券指数收益率*45%,沪深300指数收益率,55%,中证综合债券指数收益率,45%
2526,003379.OF,信诚至选A,混合型基金,灵活配置型基金,中证综合债指数收益率*50%+沪深300指数收益率*50%,中证综合债指数收益率,50%,沪深300指数收益率,50%
2527,003380.OF,信诚至选C,混合型基金,灵活配置型基金,中证综合债指数收益率*50%+沪深300指数收益率*50%,中证综合债指数收益率,50%,沪深300指数收益率,50%
2543,003397.OF,银华体育文化,混合型基金,灵活配置型基金,中证800指数收益率*50%+中证全债指数收益率*50%,中证800指数收益率,50%,中证全债指数收益率,50%
2553,003411.OF,鹏华弘康A,混合型基金,灵活配置型基金,中证综合债指数收益率*90%+沪深300指数收益率*10%,中证综合债指数收益率,90%,沪深300指数收益率,10%
2554,003412.OF,鹏华弘康C,混合型基金,灵活配置型基金,中证综合债指数收益率*90%+沪深300指数收益率*10%,中证综合债指数收益率,90%,沪深300指数收益率,10%
2570,003432.OF,信诚至瑞A,混合型基金,灵活配置型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2571,003433.OF,信诚至瑞C,混合型基金,灵活配置型基金,中证综合债指数收益率*70%+沪深300指数收益率*30%,中证综合债指数收益率,70%,沪深300指数收益率,30%
2572,003434.OF,博时鑫泽A,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
2573,003435.OF,博时鑫泽C,混合型基金,灵活配置型基金,沪深300指数收益率*50%+中证综合债指数收益率*50%,沪深300指数收益率,50%,中证综合债指数收益率,50%
