,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2
11138,519962.OF,长信利盈C,混合型基金,灵活配置型基金,银行一年期定期存款利率(税后)+3%,银行一年期定期存款利率(税后),,3%,
11139,519963.OF,长信利盈A,混合型基金,灵活配置型基金,银行一年期定期存款利率(税后)+3%,银行一年期定期存款利率(税后),,3%,
11142,519969.OF,长信新利,混合型基金,灵活配置型基金,中证800指数收益率*50%+中国债券总指数收益率*50%,中证800指数收益率,50%,中国债券总指数收益率,50%
11143,519971.OF,长信改革红利,混合型基金,灵活配置型基金,沪深300指数收益率*60%+中证全债指数收益率*40%,沪深300指数收益率,60%,中证全债指数收益率,40%
11149,519979.OF,长信内需成长A,混合型基金,偏股混合型基金,沪深300指数收益率*80%+中证综合债券指数收益率*20%,沪深300指数收益率,80%,中证综合债券指数收益率,20%
11151,519983.OF,长信量化先锋A,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中证综合债券指数收益率*25%,沪深300指数收益率,75%,中证综合债券指数收益率,25%
11153,519987.OF,长信恒利优势,混合型基金,偏股混合型基金,沪深300指数*70%+上证国债指数*30%,沪深300指数,70%,上证国债指数,30%
11155,519991.OF,长信双利优选A,混合型基金,偏股混合型基金,中证800指数收益率*60%+中证综合债券指数收益率*40%,中证800指数收益率,60%,中证综合债券指数收益率,40%
11156,519993.OF,长信增利策略,混合型基金,偏股混合型基金,沪深300指数收益率*70%+上证国债指数收益率*30%,沪深300指数收益率,70%,上证国债指数收益率,30%
11157,519994.OF,长信金利趋势,混合型基金,偏股混合型基金,上证A股指数*70%+中证综合债指数*30%,上证A股指数,70%,中证综合债指数,30%
11158,519996.OF,长信银利精选,混合型基金,偏股混合型基金,标普中国A股100指数*80%+中证综合债指数*20%,标普中国A股100指数,80%,中证综合债指数,20%
11164,530005.OF,建信优化配置,混合型基金,偏股混合型基金,富时中国A600指数*60%+中国债券总指数*40%,富时中国A600指数,60%,中国债券总指数,40%
11165,530006.OF,建信核心精选,混合型基金,偏股混合型基金,沪深300指数*75%+中国债券总指数*25%,沪深300指数,75%,中国债券总指数,25%
11169,530011.OF,建信内生动力,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中国债券总指数收益率*25%,沪深300指数收益率,75%,中国债券总指数收益率,25%
11170,530012.OF,建信积极配置,混合型基金,灵活配置型基金,沪深300指数*55%+中国债券总指数*45%,沪深300指数,55%,中国债券总指数,45%
11176,530019.OF,建信社会责任,混合型基金,偏股混合型基金,沪深300指数收益率*75%+中国债券总指数收益率*25%,沪深300指数收益率,75%,中国债券总指数收益率,25%
11193,540002.OF,汇丰晋信龙腾,混合型基金,偏股混合型基金,MSCI中国A股指数*75%+一年期银行定期存款利率(税后)*25%,MSCI中国A股指数,75%,一年期银行定期存款利率(税后),25%
11194,540003.OF,汇丰晋信动态策略A,混合型基金,灵活配置型基金,MSCI中国A股指数收益率*50%+中债新综合指数收益率(全价)*50%,MSCI中国A股指数收益率,50%,中债新综合指数收益率(全价),50%
11195,540004.OF,汇丰晋信2026,混合型基金,平衡混合型基金,中债新综合指数收益率(全价)*55%+MSCI中国A股指数收益率*45%,中债新综合指数收益率(全价),55%,MSCI中国A股指数收益率,45%
11208,550003.OF,中信保诚盛世蓝筹,混合型基金,偏股混合型基金,中信标普50指数收益率*80%+中证综合债指数收益率*20%,中信标普50指数收益率,80%,中证综合债指数收益率,20%
