,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1,基准组成部分2,基准2,基准组成部分3,基准3,基准组成部分4,基准4
3972,005425.OF,民生加银睿通3个月,债券型基金,中长期纯债型基金,中国债券综合指数收益率,中国债券综合指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合指数收益率', nan, nan, nan]",中国债券综合指数收益率,"['中国债券综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3973,005426.OF,光大尊丰纯债定期开放,债券型基金,中长期纯债型基金,中债总全价指数收益率,中债总全价指数收益率,,nan,,nan,,nan,,nan,,"['中债总全价指数收益率', nan, nan, nan]",中债总全价指数收益率,"['中债总全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3974,005427.OF,渤海汇金汇增利3个月,债券型基金,中长期纯债型基金,中债综合指数(总财富)收益率*80%+1年期定期存款利率(税后)*20%,中债综合指数(总财富)收益率,80%,1年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债综合指数(总财富)收益率*80%', '1年期定期存款利率(税后)*20%', nan, nan]",中债综合指数(总财富)收益率*80%,"['中债综合指数(总财富)收益率', '80%']",1年期定期存款利率(税后)*20%,"['1年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
3975,005428.OF,渤海汇金汇添益3个月,债券型基金,中长期纯债型基金,中债综合指数(总财富)收益率*80%+1年期定期存款利率(税后)*20%,中债综合指数(总财富)收益率,80%,1年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债综合指数(总财富)收益率*80%', '1年期定期存款利率(税后)*20%', nan, nan]",中债综合指数(总财富)收益率*80%,"['中债综合指数(总财富)收益率', '80%']",1年期定期存款利率(税后)*20%,"['1年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
3978,005431.OF,上银聚增富定期开放,债券型基金,中长期纯债型基金,中国债券综合指数收益率,中国债券综合指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合指数收益率', nan, nan, nan]",中国债券综合指数收益率,"['中国债券综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3979,005432.OF,上银聚鸿益三个月定开,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3982,005435.OF,国投瑞银顺银6个月,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3983,005436.OF,圆信永丰兴瑞6个月,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3986,005439.OF,易方达恒安,债券型基金,中长期纯债型基金,中债新综合指数(全价)收益率,中债新综合指数(全价)收益率,,nan,,nan,,nan,,nan,,"['中债新综合指数(全价)收益率', nan, nan, nan]",中债新综合指数(全价)收益率,"['中债新综合指数(全价)收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
3989,005442.OF,兴业安和6个月,债券型基金,中长期纯债型基金,中债企业债总全价指数收益率*80%+中债国债总全价指数收益率*20%,中债企业债总全价指数收益率,80%,中债国债总全价指数收益率,20%,nan,,nan,,nan,,"['中债企业债总全价指数收益率*80%', '中债国债总全价指数收益率*20%', nan, nan]",中债企业债总全价指数收益率*80%,"['中债企业债总全价指数收益率', '80%']",中债国债总全价指数收益率*20%,"['中债国债总全价指数收益率', '20%']",,"['nan', nan]",,"['nan', nan]"
