,证券代码,证券简称,投资类型(一级分类),投资类型(二级分类),业绩比较基准,基准是_1,基准比例_1,基准是_2,基准比例_2,基准是_3,基准比例_3,基准是_4,基准比例_4,基准是_5,基准比例_5,基准组成部分list,基准组成部分1,基准1,基准组成部分2,基准2,基准组成部分3,基准3,基准组成部分4,基准4
4918,006493.OF,南方中债3-5年农发行A,债券型基金,被动指数型债券基金,中债-3-5年农发行债券指数收益率*95%+银行活期存款利率(税后)*5%,中债-3-5年农发行债券指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,,"['中债-3-5年农发行债券指数收益率*95%', '银行活期存款利率(税后)*5%', nan, nan]",中债-3-5年农发行债券指数收益率*95%,"['中债-3-5年农发行债券指数收益率', '95%']",银行活期存款利率(税后)*5%,"['银行活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
4919,006494.OF,南方中债3-5年农发行C,债券型基金,被动指数型债券基金,中债-3-5年农发行债券指数收益率*95%+银行活期存款利率(税后)*5%,中债-3-5年农发行债券指数收益率,95%,银行活期存款利率(税后),5%,nan,,nan,,nan,,"['中债-3-5年农发行债券指数收益率*95%', '银行活期存款利率(税后)*5%', nan, nan]",中债-3-5年农发行债券指数收益率*95%,"['中债-3-5年农发行债券指数收益率', '95%']",银行活期存款利率(税后)*5%,"['银行活期存款利率(税后)', '5%']",,"['nan', nan]",,"['nan', nan]"
4920,006495.OF,国联安增富一年定开纯债,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4921,006496.OF,银华安盈短债A,债券型基金,短期纯债型基金,中债新综合全价(1年以下)指数收益率,中债新综合全价(1年以下)指数收益率,,nan,,nan,,nan,,nan,,"['中债新综合全价(1年以下)指数收益率', nan, nan, nan]",中债新综合全价(1年以下)指数收益率,"['中债新综合全价(1年以下)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4922,006497.OF,银华安盈短债C,债券型基金,短期纯债型基金,中债新综合全价(1年以下)指数收益率,中债新综合全价(1年以下)指数收益率,,nan,,nan,,nan,,nan,,"['中债新综合全价(1年以下)指数收益率', nan, nan, nan]",中债新综合全价(1年以下)指数收益率,"['中债新综合全价(1年以下)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4923,006498.OF,中科沃土沃盛纯债A,债券型基金,中长期纯债型基金,中债综合指数(全价)收益率,中债综合指数(全价)收益率,,nan,,nan,,nan,,nan,,"['中债综合指数(全价)收益率', nan, nan, nan]",中债综合指数(全价)收益率,"['中债综合指数(全价)收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4924,006499.OF,中科沃土沃盛纯债C,债券型基金,中长期纯债型基金,中债综合指数(全价)收益率,中债综合指数(全价)收益率,,nan,,nan,,nan,,nan,,"['中债综合指数(全价)收益率', nan, nan, nan]",中债综合指数(全价)收益率,"['中债综合指数(全价)收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4925,006500.OF,建信润利增强A,债券型基金,混合债券型二级基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4926,006501.OF,建信润利增强C,债券型基金,混合债券型二级基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4929,006504.OF,广发汇承定期开放,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4930,006505.OF,永赢祥益A,债券型基金,中长期纯债型基金,中国债券综合全价指数收益率,中国债券综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合全价指数收益率', nan, nan, nan]",中国债券综合全价指数收益率,"['中国债券综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4931,006506.OF,永赢祥益C,债券型基金,中长期纯债型基金,中国债券综合全价指数收益率,中国债券综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合全价指数收益率', nan, nan, nan]",中国债券综合全价指数收益率,"['中国债券综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4933,006508.OF,国联安增裕一年定开纯债,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4934,006509.OF,国联安增盈纯债A,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4935,006510.OF,国联安增盈纯债C,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4938,006513.OF,鹏扬淳享A,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4939,006514.OF,鹏扬淳享C,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4940,006515.OF,浙商汇金短债E,债券型基金,短期纯债型基金,中债综合财富(1年以下)指数收益率,中债综合财富(1年以下)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(1年以下)指数收益率', nan, nan, nan]",中债综合财富(1年以下)指数收益率,"['中债综合财富(1年以下)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4941,006516.OF,浙商汇金短债A,债券型基金,短期纯债型基金,中债综合财富(1年以下)指数收益率,中债综合财富(1年以下)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(1年以下)指数收益率', nan, nan, nan]",中债综合财富(1年以下)指数收益率,"['中债综合财富(1年以下)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4942,006517.OF,南方吉元短债A,债券型基金,短期纯债型基金,中债短融总指数收益率,中债短融总指数收益率,,nan,,nan,,nan,,nan,,"['中债短融总指数收益率', nan, nan, nan]",中债短融总指数收益率,"['中债短融总指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4943,006518.OF,南方吉元短债C,债券型基金,短期纯债型基金,中债短融总指数收益率,中债短融总指数收益率,,nan,,nan,,nan,,nan,,"['中债短融总指数收益率', nan, nan, nan]",中债短融总指数收益率,"['中债短融总指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4944,006519.OF,汇安短债A,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4945,006520.OF,汇安短债C,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4946,006521.OF,汇安短债E,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4967,006542.OF,财通资管鸿利中短债A,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4968,006543.OF,财通资管鸿利中短债C,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4969,006544.OF,平安惠聚纯债,债券型基金,中长期纯债型基金,中债综合指数(总财富)收益率*90%+1年期定期存款利率(税后)*10%,中债综合指数(总财富)收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中债综合指数(总财富)收益率*90%', '1年期定期存款利率(税后)*10%', nan, nan]",中债综合指数(总财富)收益率*90%,"['中债综合指数(总财富)收益率', '90%']",1年期定期存款利率(税后)*10%,"['1年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
4970,006545.OF,兴银中短债A,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4971,006546.OF,兴银中短债C,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4974,006549.OF,国金惠盈纯债A,债券型基金,中长期纯债型基金,中债综合指数收益率*90%+1年定期存款收益率(税后)*10%,中债综合指数收益率,90%,1年定期存款收益率(税后),10%,nan,,nan,,nan,,"['中债综合指数收益率*90%', '1年定期存款收益率(税后)*10%', nan, nan]",中债综合指数收益率*90%,"['中债综合指数收益率', '90%']",1年定期存款收益率(税后)*10%,"['1年定期存款收益率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
4976,006552.OF,广发汇兴3个月定开,债券型基金,中长期纯债型基金,中债新综合财富(总值)指数收益率,中债新综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债新综合财富(总值)指数收益率', nan, nan, nan]",中债新综合财富(总值)指数收益率,"['中债新综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4977,006553.OF,国投瑞银恒泽中短债C,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
4978,006554.OF,华安鼎益C,债券型基金,中长期纯债型基金,中债综合全价指数收益率,中债综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价指数收益率', nan, nan, nan]",中债综合全价指数收益率,"['中债综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4982,006558.OF,永赢通益A,债券型基金,中长期纯债型基金,中国债券综合全价指数收益率,中国债券综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合全价指数收益率', nan, nan, nan]",中国债券综合全价指数收益率,"['中国债券综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4983,006559.OF,永赢通益C,债券型基金,中长期纯债型基金,中国债券综合全价指数收益率,中国债券综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合全价指数收益率', nan, nan, nan]",中国债券综合全价指数收益率,"['中国债券综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4986,006562.OF,中欧短债C,债券型基金,短期纯债型基金,中债综合财富(1年以下)指数收益率,中债综合财富(1年以下)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(1年以下)指数收益率', nan, nan, nan]",中债综合财富(1年以下)指数收益率,"['中债综合财富(1年以下)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4987,006563.OF,安信优享纯债,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4989,006565.OF,光大尊泰三年定开债,债券型基金,中长期纯债型基金,该封闭期起始日公布的三年期定期存款利率(税后)+1.5%,该封闭期起始日公布的三年期定期存款利率(税后),,1.5%,,nan,,nan,,nan,,"['该封闭期起始日公布的三年期定期存款利率(税后)', '1.5%', nan, nan]",该封闭期起始日公布的三年期定期存款利率(税后),"['该封闭期起始日公布的三年期定期存款利率(税后)', nan]",1.5%,"['1.5%', nan]",,"['nan', nan]",,"['nan', nan]"
4993,006570.OF,中金金元A,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4994,006571.OF,中金金元C,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
4995,006572.OF,宝盈盈泰C,债券型基金,中长期纯债型基金,中证全债指数收益率*90%+1年期定期存款利率(税后)*10%,中证全债指数收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中证全债指数收益率*90%', '1年期定期存款利率(税后)*10%', nan, nan]",中证全债指数收益率*90%,"['中证全债指数收益率', '90%']",1年期定期存款利率(税后)*10%,"['1年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
4999,006576.OF,永赢诚益A,债券型基金,中长期纯债型基金,中国债券综合全价指数收益率,中国债券综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合全价指数收益率', nan, nan, nan]",中国债券综合全价指数收益率,"['中国债券综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5000,006577.OF,永赢诚益C,债券型基金,中长期纯债型基金,中国债券综合全价指数收益率,中国债券综合全价指数收益率,,nan,,nan,,nan,,nan,,"['中国债券综合全价指数收益率', nan, nan, nan]",中国债券综合全价指数收益率,"['中国债券综合全价指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5005,006582.OF,博时富永纯债3个月,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率*90%+1年期定期存款利率(税后)*10%,中债综合财富(总值)指数收益率,90%,1年期定期存款利率(税后),10%,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率*90%', '1年期定期存款利率(税后)*10%', nan, nan]",中债综合财富(总值)指数收益率*90%,"['中债综合财富(总值)指数收益率', '90%']",1年期定期存款利率(税后)*10%,"['1年期定期存款利率(税后)', '10%']",,"['nan', nan]",,"['nan', nan]"
5006,006583.OF,中信保诚景泰A,债券型基金,中长期纯债型基金,中证综合债指数收益率,中证综合债指数收益率,,nan,,nan,,nan,,nan,,"['中证综合债指数收益率', nan, nan, nan]",中证综合债指数收益率,"['中证综合债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5007,006584.OF,中信保诚景泰C,债券型基金,中长期纯债型基金,中证综合债指数收益率,中证综合债指数收益率,,nan,,nan,,nan,,nan,,"['中证综合债指数收益率', nan, nan, nan]",中证综合债指数收益率,"['中证综合债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5008,006585.OF,南方宝元债券C,债券型基金,混合债券型二级基金,交易所国债指数*75%+(上证A股指数+深证A股指数)*25%,交易所国债指数,75%,(上证A股指数,,深证A股指数),25%,nan,,nan,,"['交易所国债指数*75%', '(上证A股指数', '深证A股指数)*25%', nan]",交易所国债指数*75%,"['交易所国债指数', '75%']",(上证A股指数,"['(上证A股指数', nan]",深证A股指数)*25%,"['深证A股指数)', '25%']",,"['nan', nan]"
5011,006588.OF,中加聚利纯债定开A,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5012,006589.OF,中加聚利纯债定开C,债券型基金,中长期纯债型基金,中债综合全价(总值)指数收益率,中债综合全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合全价(总值)指数收益率', nan, nan, nan]",中债综合全价(总值)指数收益率,"['中债综合全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5014,006591.OF,广发景明中短债A,债券型基金,短期纯债型基金,中债新综合财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债新综合财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债新综合财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债新综合财富(1-3年)指数收益率*80%,"['中债新综合财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
5015,006592.OF,广发景明中短债C,债券型基金,短期纯债型基金,中债新综合财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债新综合财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债新综合财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债新综合财富(1-3年)指数收益率*80%,"['中债新综合财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
5019,006596.OF,国泰聚禾纯债,债券型基金,中长期纯债型基金,中证综合债指数收益率,中证综合债指数收益率,,nan,,nan,,nan,,nan,,"['中证综合债指数收益率', nan, nan, nan]",中证综合债指数收益率,"['中证综合债指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5020,006597.OF,国泰利享中短债A,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
5021,006598.OF,国泰利享中短债C,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
5022,006599.OF,国寿安保安丰纯债,债券型基金,中长期纯债型基金,中债综合(全价)指数收益率,中债综合(全价)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合(全价)指数收益率', nan, nan, nan]",中债综合(全价)指数收益率,"['中债综合(全价)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5029,006606.OF,泓德裕丰中短债A,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
5030,006607.OF,泓德裕丰中短债C,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
5032,006609.OF,申万菱信安泰瑞利中短债A,债券型基金,短期纯债型基金,中债总财富(1-3年)指数收益率*80%+一年期定期存款利率(税后)*20%,中债总财富(1-3年)指数收益率,80%,一年期定期存款利率(税后),20%,nan,,nan,,nan,,"['中债总财富(1-3年)指数收益率*80%', '一年期定期存款利率(税后)*20%', nan, nan]",中债总财富(1-3年)指数收益率*80%,"['中债总财富(1-3年)指数收益率', '80%']",一年期定期存款利率(税后)*20%,"['一年期定期存款利率(税后)', '20%']",,"['nan', nan]",,"['nan', nan]"
5035,006612.OF,银华信用精选一年,债券型基金,中长期纯债型基金,中债综合指数收益率,中债综合指数收益率,,nan,,nan,,nan,,nan,,"['中债综合指数收益率', nan, nan, nan]",中债综合指数收益率,"['中债综合指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5036,006613.OF,富荣富金专项金融债纯债,债券型基金,中长期纯债型基金,中债-金融债券总全价(总值)指数收益率,中债-金融债券总全价(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债-金融债券总全价(总值)指数收益率', nan, nan, nan]",中债-金融债券总全价(总值)指数收益率,"['中债-金融债券总全价(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5040,006617.OF,工银瑞信瑞泽定开,债券型基金,中长期纯债型基金,中债综合财富(总值)指数收益率,中债综合财富(总值)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(总值)指数收益率', nan, nan, nan]",中债综合财富(总值)指数收益率,"['中债综合财富(总值)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5041,006618.OF,长江可转债A,债券型基金,混合债券型二级基金,中证可转换债券指数收益率*60%+中证综合债券指数收益率*40%,中证可转换债券指数收益率,60%,中证综合债券指数收益率,40%,nan,,nan,,nan,,"['中证可转换债券指数收益率*60%', '中证综合债券指数收益率*40%', nan, nan]",中证可转换债券指数收益率*60%,"['中证可转换债券指数收益率', '60%']",中证综合债券指数收益率*40%,"['中证综合债券指数收益率', '40%']",,"['nan', nan]",,"['nan', nan]"
5042,006619.OF,长江可转债C,债券型基金,混合债券型二级基金,中证可转换债券指数收益率*60%+中证综合债券指数收益率*40%,中证可转换债券指数收益率,60%,中证综合债券指数收益率,40%,nan,,nan,,nan,,"['中证可转换债券指数收益率*60%', '中证综合债券指数收益率*40%', nan, nan]",中证可转换债券指数收益率*60%,"['中证可转换债券指数收益率', '60%']",中证综合债券指数收益率*40%,"['中证综合债券指数收益率', '40%']",,"['nan', nan]",,"['nan', nan]"
5048,006625.OF,汇安嘉鑫纯债,债券型基金,中长期纯债型基金,中债综合指数(全价)收益率,中债综合指数(全价)收益率,,nan,,nan,,nan,,nan,,"['中债综合指数(全价)收益率', nan, nan, nan]",中债综合指数(全价)收益率,"['中债综合指数(全价)收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5049,006626.OF,山西证券超短债A,债券型基金,短期纯债型基金,中债综合财富(1年以下)指数收益率,中债综合财富(1年以下)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(1年以下)指数收益率', nan, nan, nan]",中债综合财富(1年以下)指数收益率,"['中债综合财富(1年以下)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
5050,006627.OF,山西证券超短债C,债券型基金,短期纯债型基金,中债综合财富(1年以下)指数收益率,中债综合财富(1年以下)指数收益率,,nan,,nan,,nan,,nan,,"['中债综合财富(1年以下)指数收益率', nan, nan, nan]",中债综合财富(1年以下)指数收益率,"['中债综合财富(1年以下)指数收益率', nan]",,"['nan', nan]",,"['nan', nan]",,"['nan', nan]"
